"","LU_0","LU_3","LU_4","LU_5","LU_6","LU_9","LU_11","LU_12","LU_13","LU_15","LU_18","LU_21","LU_24","LU_25","LU_27","LU_30","LU_31","LU_32","LU_33","LU_34","LU_35","id"
"419",0,0.00588419660925865,1683.99401380354,0,0,0,0,0,1497.23356747783,0,0,1325.00649596894,5287.00462448925,82.6081392765045,0,0,0,0,0,0,0,"140310"
"420",0,0,587.989550386635,0,0,0,0,0,0,0,4.31847361521797,257.455681190326,30264.1374343515,8273.93460387795,0,0,0,0,0,0,0,"140311"
"421",0,0,1996.07851891273,0,0,0,0,0,0,0,431.260114408178,1583.506636543,21731.7612264222,640.535985291004,0,0,0,0,0,0,0,"140312"
"422",0,0,14925.7320869984,0,0,0,0,0,751.452094945334,0,988.704106284146,7140.3256150401,25852.8441525804,15574.724264442,0,0,0,0,8.61331238970476,0,0,"200605"
"423",0,0,4.56613496039262,0,0,0,0,0,0,0,0,1856.54087776759,13830.9472567439,2964.00045322005,0,0,0,0,1.1592994218704,0,0,"200608"
"424",0,0,625.521664806409,0,0,0,5.32070854997437,0,0,0,0,686.515509263665,8962.4686776764,561.180578074455,0,0,0,0,0,0,0,"200507"
"425",0,0,236.184658110674,0,0,0,0,0,0,0,0.665802603238262,282.215908069338,4103.01342244772,954.407195241676,0,0,0,0,0,0,0,"200502"
"426",0,7.15847703108754e-15,0,0,0,0,0,15.5023932391778,52.2070915957431,656.352001616913,0,1195.72919173457,6663.8721298473,1042.08868673444,0,0,0,0,0,0,0,"200304"
"427",0,0,306.325901857264,0,0,0,59.5135951291304,0,127.202196335853,0,0.477528636343777,914.235648222566,86253.3097801744,31346.7452749798,0,0,0,0,88.205838957905,0,0,"200801"
"428",0,0,37.1181861003862,0,0,0,0,0,0,0,0,119.205015286485,4585.64704915731,942.273551050671,0,0,0,0,0,0,0,"200804"
"429",0,0,182.327127751894,0,0,0,0,0,0,0,55.382435493201,654.215586321004,6256.13249069057,222.082158748298,0,0,0,0,0,0,0,"200806"
"430",0,0,142.803457349539,0,0,0,0,0,0,0,9.16249136760598,3184.41821403796,12439.2883992646,614.333462204785,0,0,0,0,0,0,0,"200803"
"431",0,0,36.8678041258067,0,0,0,0,0,0,0,142.377340098631,992.009391916453,11337.565560581,111.768009713622,0,0,0,0,0,0,0,"200802"
"432",0,0,2051.27874074485,0,0,0,0,0,0,0,0,2032.56631255344,7315.91398765702,1985.94662096369,0,0,0,0,0,0,0,"200108"
"433",0,15.4870519936534,646.99870477147,0,0,0,0,0,1259.78007912636,0,0,2495.625834499,0,103.993637859375,0,0,0,0,0,0,0,"200306"
"434",0,14.9171967536095,651.494942117318,0,0,0,0,0,524.258319190703,0,0,3767.84674855243,0,161.891266345978,0,0,0,0,0,0,0,"200302"
"435",0,0,5925.81769251006,0,0,0,0,0,0,0,2956.36170859088,21131.8700275802,59311.5485519885,7943.89859656862,0,0,0,0,0,0,0,"200109"
"436",0,0,334.597539082277,0,0,0,0,0,0,0,0,3352.22490470464,9490.76111395958,368.857568288225,0,0,0,0,0.00357461465819142,0,0,"200406"
"437",0,0,3723.85357700068,0,0,0,0,0,0,0,95.133198047953,3937.28680532455,37649.666779522,2203.45632663123,0,0,0,0,0,0,0,"200107"
"438",0,0,243.83318734422,0,0,0,0,0,0,0,0.0423288240563124,445.38630264855,28801.4788308213,11655.3781839897,0,0,0,0,0,0,0,"200805"
"439",0,0,331.203293866839,0,0,0,0,0,0,0,77.2762661483299,1462.65763522175,6053.58993818949,176.920828891976,0,0,0,0,0,0,0,"200407"
"440",0,0,1853.42090266226,0,0,0,0,0,0,0,483.16835955129,6521.48424328994,88734.9618521071,12387.6892376032,0,0,0,0,0,0,0,"200110"
"441",0,0,0,0,0,0,0,0,0,0,358.673730383216,7153.00999098037,45829.0279210736,10016.0130885116,0,0,0,0,0,0,0,"110112"
"442",0,0,0,0,0,0,0,0,0,0,29.192201402213,8718.88951947566,3620.40474748611,859.557999570141,0,0,0,0,0,0,0,"110113"
"443",0,0,0,0,0,0,0,0,0,0,0,0,0,141.242473475751,0,0,0,0,0,0,0,"110114"
"444",0,0,0,0,0,0,0,0,0,0,1779.72023514716,35539.0815555005,353997.919343554,41126.279546831,0,0,0,0,0,0,0,"110101"
"445",0,0,0,0,0,0,0,0,0,0,0,3335.50756437008,5782.97067383491,281.634032365724,0,0,0,0,0,0,0,"110503"
"446",0,0,0,0,0,0,0,0,0,0,0,7683.95001453845,9120.85232557717,1746.53684782265,0,0,0,0,0,0,0,"110504"
"447",17.3062408715487,0,310.651950619258,0,0,0,0,0,0,0,42.3997327127727,269.349763438459,8660.67216159332,3906.76643796974,0,0,0,0,6.01894330978394,0,0,"110505"
"448",1.62827992835082,0,0,0,0,0,4.06096242368376,0,0,0,303.698487687113,3590.38323602199,46262.0491246196,2267.99872308734,0,0,0,0,1.12394244968891,0,0,"110506"
"449",0,0,0,0,0,0,4.04516604147488,0,0,0,0,1340.03829958871,62605.5221656193,6065.70411789001,0,0,0,0,1.59537577629089,0,0,"110507"
"450",0,0,0,0,0,0,0,0,0,0,0,2139.00409878465,43875.6584328224,6052.75551407505,0,0,0,0,0,0,0,"110508"
"451",0,0,32.2473167640297,0,0,0,0,0,0,0,0,2430.97130584257,11139.7938672948,2258.85316772379,0,0,0,0,0,0,0,"130703"
"452",0,0,26.823678484885,0,0,0,3.88462140556294,0,0,0,0,427.173997104961,57451.8706915189,18129.3429433228,0,0,0,0,3.75610992192605,0,0,"130704"
"453",0,0,464.617077225285,0,0,0,0,0,0,0,876.842718511757,4267.94475788005,19033.9883960778,840.409049698827,0,0,0,0,0,0,0,"130705"
"454",0,2.68545128963888,0,0,0,9.94099330063909,0,36.4424565911909,25.2067313208859,0,0,683.272401916535,1088.81751502759,10.3405950937886,0,0,0,0,0,0,0,"130802"
"455",0,0,0,0,0,136.923333982787,0,126.631964415828,203.422875552674,0,0,2267.09172910276,2427.70985707641,68.1923693418503,0,0,0,0,0,0,0,"130803"
"456",0,0,0,0,0,0,1.08898739048997e-08,0,0,0,974.74121757721,9570.56363544018,39863.5168917119,722.70032585552,0,0,0,0,0,0,0,"130207"
"457",0,0,34.3982518643506,0,0,0,1.89989326894283,0,0,0,1448.29141457772,7627.57137167839,65670.2548340556,1580.10017828367,0,0,0,0,0.00196369667544071,0,0,"130208"
"458",0,17.9944619834423,0,0,0,0,0,86.4854554270461,0.04329399572468,0,0,1045.99307549809,493.440834053792,15.5136942934478,0,0,0,0,0,0,0,"130302"
"459",0,0.122152205556631,0,0,0,0,0,68.0793988291883,24.8892086959975,0,0,1329.50734065624,1329.57278598868,43.2604400425334,0,0,0,0,0,0,0,"130304"
"460",0,5.72297079145299,0,0,0,0,0,3.86918015458747,0,0,0,711.765524474921,1147.94793167803,10.6577620506287,0,0,0,0,0,0,0,"130305"
"461",0,0,84.107851308374,0,0,0,0,0,0,0,275.494438662583,8381.08977114853,34489.9167563952,1831.72984900578,0,0,0,0,0,0,0,"130701"
"462",0,0,359.533135681415,0,0,0,0,0,0.265039313537273,0,1186.47703075986,10199.4736203565,85413.9050891891,2524.49006695111,0,0,0,0,1.63269334740471,0,0,"130702"
"463",0,0,0.679641015129164,0,0,0,0,0,0,0,286.032422530192,7701.51192615894,65839.4817975363,6175.99384426122,0,0,0,0,0,0,0,"131202"
"464",0,0,0.792129695415497,0,0,0,5.0701654769946,0,0,0,2608.31527882628,296.959003579464,13507.8427561924,1832.6749834785,0,0,0,0,15.031720369764,0,0,"131203"
"465",0,0,29.357649131678,0,0,0,0,0,0,0,4174.75392421796,7877.90801951698,78141.0156763264,1925.33656758132,0,0,0,0,2.60180711746216,0,0,"130106"
"466",0,0,4.90080293089333e-16,0,0,0,0,53.5136118238061,0,0,0,2009.57865446102,611.930502679199,47.1030183186233,0,0,0,0,18.317937374115,0,0,"130903"
"467",0,0,1.56683779275099,0,0,933.142250012757,0,311.588439455144,179.182568231438,0,0.843661389314182,19317.4879327404,102850.587961386,1036.10226878605,0,0.0102225252339855,0,0,0,0,0,"130901"
"468",0,0,0,0,0,2.10923624789582,0,19.7416882250708,7.85594808870917,0,0,412.35514526628,416.114958284423,54.3286127686215,0,0,0,0,0,0,0,"130906"
"469",0,0.0237494204193354,0,0,0,14.1325214226836,0,197.132060635835,20.7169796201288,0,0,4118.5148419497,13978.4791183695,317.057553768158,0,0,0,0,0,0,0,"131001"
"470",0,26.2679942245756,0,0,1.41977670788765,0,39.649060662283,0,0,23.1802841879,1037.7983667822,441.925033508208,31808.6351918681,1152.58487618172,0,0,0,0,155.038212887617,0,0,"250201"
"471",0,115.609790443042,0,0,119.649879716475,0,568.749584716526,0,0,0,647.963447211615,164.852114540699,3808.58236981622,41.1033607108402,0,0,0,0,14.2146455794573,0,0,"250203"
"472",0,28.6088932024195,0,0,1.2708112979972,0,0,0,0,0,726.620619013188,0.00300618180019265,23.1208727442518,105.812832786881,0,0,0,0,3.87433567213885,0,0,"250204"
"473",0,9.61107302689925,0,0,1.02577697346022,0,97.2635500934818,0,0,0,0,458.485236128113,2044.88187031809,25.8791641623247,0,0,0,0,71.9829633415759,0,0,"250103"
"474",0,716.254271282962,0,0,4.43642347601603,0,0,0,0,1558.09162611558,5.84735548449895,9707.65101045752,46767.6282414325,1907.6885679719,0,0,0,0,522.937937204248,0,382.94365670658,"250301"
"475",0,72.0259719949715,0,0,0,0,0,0,0,331.109576761919,0,2065.57439750104,7236.66184918094,142.172176595681,0,0,0,0,0,0,7.74233079131227,"250305"
"476",0,98.0411987074038,0,0,0,0,0,0,0,1107.27114200966,0,3368.46021024243,11999.7394368934,434.75836282035,0,0,0,0,293.864596341336,0,0,"250302"
"477",0,6.77778496941937,0,0,17.5110874358455,0,658.911236111471,0,0,278.842036930568,0,2742.01333092287,4887.69379753026,184.380083751545,0,0,0,0,0.221153774677077,0,0,"250104"
"478",0,0,0,0,0,0,0,0,0,28.0420880199695,0,456.753361149339,8344.32128418729,56.743426582245,0,0,0,0,0.600052118301392,0,461.060262423626,"250304"
"479",0,7.65049153553725,0,0,0.00122167600784451,0,0,0,0,193.095070645815,0,1699.59667122251,7003.02828701251,183.212743413388,0,0,0,0,218.07881601516,0,17.0752547573065,"250303"
"480",0,0.940748067572713,0,0,0,0,1525.26009878646,0,0,66.6370906837692,0,3859.78364527616,256022.829816585,460.2602835899,0,0,0,0,30.018736417644,0,0,"250107"
"481",0,21.8695568423016,0,0,83.6752841079792,0,0,0,0,2053.97383742506,0,22798.4296481783,253459.379379594,1841.86782491058,0,4.67757066056914,0,0,291.835021756085,0,46.8727687175444,"250105"
"482",0,87.2080035498366,0,0,20.6805123336312,0,1792.65849845629,0,0,591.709228882082,0,15248.465602448,379910.385449295,1868.04722148411,0,162.526252225041,0,0,306.419715434655,0,0.0646045491303084,"250101"
"483",0,2.15487023815513,0,0,0,35.1814662467227,0,201.553279933988,395.997917137625,0,0,610.789912517235,686.347979295068,133.058270858601,0,0,0,0,0,0,0,"060202"
"484",0,0,0,0,0,68.2660156139173,0,207.921157056275,3.48988614157393e-12,0,0,2363.51472786655,3246.86845821151,154.680177628994,0,0,0,0,0,0,0,"060204"
"485",12.22057387528,0,0,0,0,0,405.905598782102,0,0,0,0,4495.05854065962,914953.90664601,14585.7970903278,0,0,0,0,172.138978427317,0,0,"150108"
"486",0,0,5114.51764130121,0,0,0,0,0,0,0,0,373.189744866232,19166.7884272793,706.050478261837,0,0,0,0,0,0,0,"200606"
"487",0,0,30619.420105522,0,0,0,0,0,113.725126266479,0,318.3779761602,11562.2558315069,407934.292915181,6552.42154182233,0,0,0,0,0.378248265015254,0,0,"200601"
"488",0,0,237.246347829715,0,0,0,0,0,0,0,0,53.2077216952457,654.440517097712,637.318118028721,0,0,0,0,0,0,0,"200503"
"489",0,0,1747.48256406978,0,0,0,0,0,0,0,55.7033334695893,748.461081871906,26071.8670122987,1037.90918599435,0,0,0,0,0,0,0,"200505"
"490",0,0,8404.77280993867,0,0,0,0,0,0,0,0,12471.1500075303,91536.919347951,2278.55885297209,0,0,0,0,9.6877401182428,0,0,"200114"
"491",0,0,0,0,0,0,0,0,0,0,216.243394099263,7514.21827282369,11087.6791324138,4956.96456009573,0,0,0,0,0,0,0,"110107"
"492",0,0,0,0,0,0,0,0,0,0,2006.22125429534,10044.9956693632,46536.1349691637,11009.9901680859,0,0,0,0,0,0,0,"110108"
"493",0,0,89.2704601287842,0,0,0,0,0,0,0,3443.2282223026,3637.52049541968,7115.37185677514,2255.79220466386,0,0,0,0,0,0,0,"110109"
"494",0,46.2422209754586,0,0,0,76.9106678240933,0,45.1954649724066,285.141569047297,0,0,23036.6488461955,69491.6306602155,2965.4673357443,0,0,0,0,0,0,0,"050401"
"495",0,59.9276650859974,0,0,0,0,0,0,1.29948041308685,0,0,1766.33659014449,18533.8874213695,483.454776734136,0,0,0,0,15.3309464752695,0,0,"050507"
"496",0,826.065665845751,0,0,0,0,0,0,16.2522192681262,0,0,2136.8056735894,13545.4846524657,774.20737622846,0,0,0,0,349.695268919669,0,0,"050503"
"497",0,177.814101869241,0,0,0,0,0,0,5.75551111996174,0,0,1328.87948771185,8961.59162112226,369.172746222817,0,0,0,0,46.2837000736036,0,0,"050407"
"498",0,40.6995846989012,0,0,0,0,0,0,0,0,0,1237.42230123045,11008.4443267957,259.681004086914,0,0,0,0,23.2466875200189,0,0,"050408"
"499",0,3.64142542821355e-05,0,0,0,0,0,0,0,0,0,594.780399642326,3837.79941341229,231.37691406766,0,0,0,0,0,0,0,"050409"
